UserId;GroupId;Hand;Object;Errors;ImpactPoints;Time

0;1;left;014_lemon;Thumb_3:0.507834 Index_3:0.05232 Middle_3:0.505115 Ring_3:-0.410914 Pinky_3:0.0 Thumb_2:-0.744668 Index_2:0.872603 Middle_2:1.717368 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=199.672 Y=12.928 Z=134.595 Index_3:X=198.644 Y=14.373 Z=135.001 Middle_3:X=198.131 Y=14.931 Z=134.669 Ring_3:X=196.300 Y=15.175 Z=134.474 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=198.654 Y=11.107 Z=134.039 Index_2:X=199.625 Y=14.119 Z=133.420 Middle_2:X=198.789 Y=14.939 Z=132.865 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;2.57785
0;1;left;003_cracker_box;Thumb_3:-0.411541 Index_3:-0.290199 Middle_3:2.428954 Ring_3:0.836032 Pinky_3:0.624639 Thumb_2:1.049981 Index_2:1.051138 Middle_2:1.594104 Ring_2:0.388214 Pinky_2:0.183284 ;Thumb_3:X=198.373 Y=13.802 Z=155.745 Index_3:X=204.825 Y=12.340 Z=154.788 Middle_3:X=204.113 Y=13.743 Z=152.244 Ring_3:X=203.931 Y=14.276 Z=150.321 Pinky_3:X=204.026 Y=13.778 Z=147.932 Thumb_2:X=198.565 Y=12.740 Z=152.445 Index_2:X=202.696 Y=11.519 Z=153.325 Middle_2:X=203.834 Y=12.140 Z=151.300 Ring_2:X=204.358 Y=12.522 Z=149.312 Pinky_2:X=204.150 Y=12.638 Z=146.638 ;1.244919
0;1;left;004_sugar_box;Thumb_3:0.773026 Index_3:0.0 Middle_3:1.535173 Ring_3:0.388033 Pinky_3:0.0 Thumb_2:3.678692 Index_2:0.139483 Middle_2:0.251638 Ring_2:0.31306 Pinky_2:0.0 ;Thumb_3:X=195.754 Y=18.857 Z=144.092 Index_3:X=0.000 Y=0.000 Z=0.000 Middle_3:X=199.287 Y=22.301 Z=144.148 Ring_3:X=198.792 Y=24.092 Z=143.722 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=196.350 Y=21.887 Z=141.164 Index_2:X=200.590 Y=18.591 Z=141.983 Middle_2:X=200.159 Y=21.587 Z=141.847 Ring_2:X=199.663 Y=23.864 Z=141.612 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.889236
0;1;left;005_tomato_soup_can;Thumb_3:-0.29677 Index_3:1.113297 Middle_3:2.17026 Ring_3:-0.797737 Pinky_3:0.0 Thumb_2:0.128411 Index_2:0.567396 Middle_2:1.281894 Ring_2:0.431973 Pinky_2:0.0 ;Thumb_3:X=199.464 Y=16.281 Z=143.703 Index_3:X=202.285 Y=20.456 Z=143.971 Middle_3:X=201.380 Y=21.567 Z=144.190 Ring_3:X=199.492 Y=22.171 Z=144.411 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=198.300 Y=16.609 Z=141.177 Index_2:X=202.326 Y=19.688 Z=141.071 Middle_2:X=201.568 Y=21.365 Z=141.086 Ring_2:X=200.131 Y=22.238 Z=141.134 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.367172
0;1;left;006_mustard_bottle;Thumb_3:0.191431 Index_3:-0.224881 Middle_3:2.851825 Ring_3:0.928142 Pinky_3:0.0 Thumb_2:0.302353 Index_2:0.704825 Middle_2:1.320843 Ring_2:1.940881 Pinky_2:0.0 ;Thumb_3:X=198.853 Y=17.499 Z=144.234 Index_3:X=202.495 Y=21.720 Z=144.045 Middle_3:X=199.676 Y=22.431 Z=145.032 Ring_3:X=197.103 Y=22.282 Z=144.463 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=197.305 Y=17.474 Z=142.042 Index_2:X=201.066 Y=21.339 Z=142.586 Middle_2:X=200.130 Y=22.606 Z=142.414 Ring_2:X=197.127 Y=22.320 Z=141.748 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.355545
0;1;left;007_tuna_fish_can;Thumb_3:5.727863 Index_3:3.161839 Middle_3:0.0 Ring_3:0.475824 Pinky_3:0.267328 Thumb_2:-0.109169 Index_2:0.425973 Middle_2:1.856513 Ring_2:2.279492 Pinky_2:0.0 ;Thumb_3:X=196.782 Y=13.167 Z=134.988 Index_3:X=196.811 Y=13.559 Z=134.139 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=194.590 Y=15.570 Z=133.660 Pinky_3:X=192.042 Y=15.567 Z=133.027 Thumb_2:X=192.166 Y=8.100 Z=132.579 Index_2:X=197.154 Y=11.813 Z=131.092 Middle_2:X=196.667 Y=14.178 Z=132.154 Ring_2:X=192.874 Y=14.865 Z=132.751 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;4.500824
0;1;right;008_pudding_box;Thumb_3:0.285573 Index_3:4.391719 Middle_3:-0.518596 Ring_3:0.0 Pinky_3:0.0 Thumb_2:0.0 Index_2:1.583758 Middle_2:0.058683 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=201.687 Y=22.401 Z=138.837 Index_3:X=201.471 Y=22.284 Z=142.299 Middle_3:X=203.860 Y=24.145 Z=141.994 Ring_3:X=0.000 Y=0.000 Z=0.000 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=0.000 Y=0.000 Z=0.000 Index_2:X=199.119 Y=21.551 Z=142.497 Middle_2:X=200.966 Y=24.448 Z=142.416 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.556091
0;1;left;009_gelatin_box;Thumb_3:0.227743 Index_3:-1.150181 Middle_3:1.599899 Ring_3:-5.48116 Pinky_3:0.0 Thumb_2:0.457019 Index_2:0.390825 Middle_2:3.227837 Ring_2:0.0 Pinky_2:0.0 ;Thumb_3:X=199.757 Y=17.072 Z=139.643 Index_3:X=201.221 Y=21.065 Z=139.584 Middle_3:X=198.440 Y=20.828 Z=139.096 Ring_3:X=197.245 Y=23.587 Z=141.078 Pinky_3:X=0.000 Y=0.000 Z=0.000 Thumb_2:X=198.289 Y=15.790 Z=138.361 Index_2:X=200.837 Y=18.274 Z=137.491 Middle_2:X=197.829 Y=18.652 Z=137.428 Ring_2:X=0.000 Y=0.000 Z=0.000 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.644196
0;1;right;010_potted_meat_can;Thumb_3:2.281425 Index_3:1.571728 Middle_3:0.0 Ring_3:1.176157 Pinky_3:0.481091 Thumb_2:1.216872 Index_2:0.495149 Middle_2:0.079455 Ring_2:-0.321249 Pinky_2:0.0 ;Thumb_3:X=201.964 Y=18.763 Z=138.405 Index_3:X=198.887 Y=15.400 Z=143.863 Middle_3:X=0.000 Y=0.000 Z=0.000 Ring_3:X=201.805 Y=19.709 Z=145.535 Pinky_3:X=201.539 Y=22.761 Z=145.962 Thumb_2:X=200.348 Y=21.811 Z=138.469 Index_2:X=197.350 Y=17.298 Z=142.427 Middle_2:X=197.054 Y=17.743 Z=145.488 Ring_2:X=198.711 Y=19.846 Z=145.773 Pinky_2:X=0.000 Y=0.000 Z=0.000 ;1.310822
