object 0 1 
a 1.344460 1.829687 
b 1.219575 1.813173 
c 1.272597 2.018855 
d 1.633357 1.740973 
e 1.263846 1.826003 
f 1.477912 2.081915 
g 1.199803 1.546304 
h 1.177952 2.014941 
i 1.363957 1.790802 
j  1.305621 1.777960 
k  1.261225 1.457623 
l  1.146934 1.413182 
m  1.102896 1.477857 
n  1.105583 1.436970 
o  1.074921 1.674360 
p  1.030803 1.463072 
q  1.347237 1.789224 
r  1.394663 1.694425 
s  1.394531 1.592709 
t  1.344469 1.562962 
u  1.414642 1.974332 
v  1.383451 1.792406 
w  1.211221 1.502096 
x  1.205614 1.518863 
y  1.336491 1.653943  
z  1.436270 1.418867 
aa 1.630676 1.527773 
ab 1.219502 1.357647 
ac 1.050392 1.235232 
ad 1.736370 1.837135 
